,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
79,https://www.acnc.gov.au/charity/charities/4268dc73-39af-e811-a963-000d3ad24077/profile,The Trustee For Irene And David Davy Scholarship For Advancement Of Aboriginal Education,Unavailable,Unavailable,Registered,Small,72264607389,,,
80,https://www.acnc.gov.au/charity/charities/466adc73-39af-e811-a963-000d3ad24077/profile,Indigenous Barristers' Trust,Melbourne,VIC,Registered,Small,37236738243,,,
81,https://www.acnc.gov.au/charity/charities/5d52387a-39af-e811-a963-000d3ad24077/profile,The Trustee For Ss Peter And Paul Eparchial Foundation,North Melbourne,VIC,Registered,Small,58167012425,,,
82,https://www.acnc.gov.au/charity/charities/1f68dc73-39af-e811-a963-000d3ad24077/profile,ACPT - St Andrew's Cathedral Trust,Sydney,NSW,Registered,Small,47997148706,,,
83,https://www.acnc.gov.au/charity/charities/3650387a-39af-e811-a963-000d3ad24077/profile,Ferncourt Public School P&C Association,Unavailable,Unavailable,Registered,Small,58160920528,,,
84,https://www.acnc.gov.au/charity/charities/53632e80-39af-e811-a963-000d3ad24077/profile,St Johns Lutheran Congregation,Drayton,QLD,Registered,Small,25318340705,,,
85,https://www.acnc.gov.au/charity/charities/834c387a-39af-e811-a963-000d3ad24077/profile,Yallambie Park Pre School Centre,Yallambie,VIC,Registered,Small,42772570341,,,
86,https://www.acnc.gov.au/charity/charities/8deae56d-39af-e811-a963-000d3ad24077/profile,Returned Services League Of Australia Lowood Sub Branch,Lowood,QLD,Registered,Small,24935600661,,,
87,https://www.acnc.gov.au/charity/charities/37ece56d-39af-e811-a963-000d3ad24077/profile,Citigate Church Incorporated,Unavailable,Unavailable,Registered,Small,67861833565,,,
88,https://www.acnc.gov.au/charity/charities/5e4a387a-39af-e811-a963-000d3ad24077/profile,Maryvale Community Hall Inc.,Maryvale,QLD,Registered,Small,18849944559,,,
89,https://www.acnc.gov.au/charity/charities/0f62dc73-39af-e811-a963-000d3ad24077/profile,Seventh-Day Adventist Schools (Greater Sydney) Limited,Wahroonga,NSW,Registered,Small,63106908767,,,
90,https://www.acnc.gov.au/charity/charities/11682e80-39af-e811-a963-000d3ad24077/profile,The Roman Catholic Bishop Of Broome Broome Parish,Broome,WA,Registered,Small,25346942200,,,
91,https://www.acnc.gov.au/charity/charities/d367dc73-39af-e811-a963-000d3ad24077/profile,Kondinin P&C Association,Unavailable,Unavailable,Registered,Small,72260474127,,,
92,https://www.acnc.gov.au/charity/charities/b968dc73-39af-e811-a963-000d3ad24077/profile,I Am Someone Inc,Campbells Creek,VIC,Registered,Small,72265108056,,,
93,https://www.acnc.gov.au/charity/charities/c553387a-39af-e811-a963-000d3ad24077/profile,Bermagui Seasiders Inc,Bermagui,NSW,Registered,Small,53036061948,,,
94,https://www.acnc.gov.au/charity/charities/cada0355-39af-e811-a963-000d3ad24077/profile,Gundaroo Soldiers Memorial Hall Management Committee Inc,Gundaroo,NSW,Registered,Small,36880747153,,,
